lon,lat,date,mgrs,scene,max_b12,avg_b12,max_b11,b12_b11_ratio,peakedness,pixels,warm_size,saturated,sun_elevation,sun_azimuth,glint_angle,glint_score
51.494314733784385,25.952798341856788,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.30480000376701355,0.2760312482714653,0.35749998688697815,0.8525874543972348,1.1042228214222158,16,18861,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.48692147058101,25.952281606636802,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3102000057697296,0.2771928608417511,0.40560001134872437,0.764792892234482,1.1190764611604562,14,18842,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.51008855342552,25.95111829385039,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3116999864578247,0.2701732814311981,0.45089998841285706,0.6912840862005594,1.153703966604861,131,18834,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.477532159755675,25.952132277882985,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,1.2288000583648682,0.5514307778615218,0.5651000142097473,2.1744824411007295,2.228384971782353,13,4,1,73.7482538222865,96.7815477922789,16.2517461777135,1
51.5013001248163,25.95132957612287,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.32510000467300415,0.26886815421140875,0.4706000089645386,0.6908202262645975,1.2091428441070815,157,18779,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.47433387687979,25.95160100517334,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3147999942302704,0.28730000257492067,0.391400009393692,0.8042922500638648,1.095718730974179,5,18821,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.47932777782852,25.951584562229588,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.314300000667572,0.314300000667572,0.42890000343322754,0.7328048453058668,1,1,18823,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.48012460398561,25.95104013918688,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.39430001378059387,0.2943725509970796,0.4514999985694885,0.873311218227853,1.3394591732314933,51,18248,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.47173128896573,25.95016474909048,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.5776000022888184,0.30064177022704597,0.4178999960422516,1.382148858001952,1.9212233943826647,79,17,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46693862113521,25.950541470228842,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3416999876499176,0.3029444482591417,0.4189999997615814,0.8155130974805515,1.1279295250778916,9,18707,0,73.7482538222865,96.7815477922789,16.2517461777135,1
